section,reference,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
408 Limited-Use/Limited-Application Elevators,408.4.6,Car Controls,Elevator car controls shall comply with 407.4.6. Control panels shall be centered on a side wall.,['Elevator'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
408 Limited-Use/Limited-Application Elevators,408.4.7,Designations and Indicators of Car Controls,Designations and indicators of car controls shall comply with 407.4.7.,['Elevator'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
408 Limited-Use/Limited-Application Elevators,408.4.8,Emergency Communications,Car emergency signaling devices complying with 407.4.9 shall be provided.,['Elevator'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['dd', 'cd']",elevators_conveying_systems,elevator_consultant
409 Private Residence Elevators,409.1,General,"Private residence elevators that are provided within a residential dwelling unit required to provide mobility features complying with 809.2 through 809.4 shall comply with 409 and with ASME A17.1 (incorporated by reference, see “Referenced Standards” in Chapter 1). They shall be passenger elevators as classified by ASME A17.1. Elevator operation shall be automatic.",['Elevator'],['Residential (R)'],"['sd', 'dd', 'cd']",elevators_conveying_systems,elevator_consultant
409 Private Residence Elevators,409.2,Call Buttons,Call buttons shall be 3/4 inch (19 mm) minimum in the smallest dimension and shall comply with 309.,['Elevator'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
409 Private Residence Elevators,409.3,Elevator Doors,"Hoistway doors, car doors, and car gates shall comply with 409.3 and 404.","['Elevator', 'Door']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",elevators_conveying_systems,elevator_consultant
409 Private Residence Elevators,409.3.1,Power Operation,"Elevator car and hoistway doors and gates shall be power operated and shall comply with ANSI/BHMA A156.19 (1997 or 2002 edition) (incorporated by reference, see “Referenced Standards” in Chapter 1). Power operated doors and gates shall remain open for 20 seconds minimum when activated.","['Elevator', 'Door']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",elevators_conveying_systems,elevator_consultant
409 Private Residence Elevators,409.3.2,Location,Elevator car doors or gates shall be positioned at the narrow end of the clear floor spaces required by 409.4.1.,"['Elevator', 'Door']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
409 Private Residence Elevators,409.4,Elevator Cars,Private residence elevator cars shall comply with 409.4.,['Elevator'],['Residential (R)'],"['sd', 'dd', 'cd']",elevators_conveying_systems,architect
409 Private Residence Elevators,409.4.1,Inside Dimensions of Elevator Cars,Elevator cars shall provide a clear floor space of 36 inches (915 mm) minimum by 48 inches (1220 mm) minimum and shall comply with 305.,['Elevator'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
409 Private Residence Elevators,409.4.2,Floor Surfaces,Floor surfaces in elevator cars shall comply with 302 and 303.,"['Elevator', 'Slab', 'Covering']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)', 'Institutional (I)']","['dd', 'cd']",accessibility,architect
409 Private Residence Elevators,409.4.3,Platform to Hoistway Clearance,The clearance between the car platform and the edge of any landing sill shall be 1 1/2 inch (38 mm) maximum.,"['Elevator', 'Slab']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",elevators_conveying_systems,elevator_consultant
409 Private Residence Elevators,409.4.4,Leveling,Each car shall automatically stop at a floor landing within a tolerance of 1/2 inch (13 mm) under rated loading to zero loading conditions.,['Elevator'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['dd', 'cd']",elevators_conveying_systems,elevator_consultant
409 Private Residence Elevators,409.4.5,Illumination Levels,Elevator car illumination shall comply with 407.4.5.,['Elevator'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",elevators_conveying_systems,elevator_consultant
409 Private Residence Elevators,409.4.6,Car Controls,"Elevator car control buttons shall comply with 409.4.6, 309.3, 309.4, and shall be raised or flush.",['Elevator'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
409 Private Residence Elevators,409.4.6.1,Size,Control buttons shall be 3/4 inch (19 mm) minimum in their smallest dimension.,['Elevator'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
409 Private Residence Elevators,409.4.6.2,Location,"Control panels shall be on a side wall, 12 inches (305 mm) minimum from any adjacent wall.",['Wall'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
409 Private Residence Elevators,409.4.7,Emergency Communications,Emergency two-way communication systems shall comply with 409.4.7.,"['BuildingElementProxy', 'Wall', 'Door']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",fire_protection_alarm_systems,fire_protection_engineer
409 Private Residence Elevators,409.4.7.1,Type,A telephone and emergency signal device shall be provided in the car.,['Elevator'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",elevators_conveying_systems,elevator_consultant
409 Private Residence Elevators,409.4.7.2,Operable Parts,The telephone and emergency signaling device shall comply with 309.3 and 309.4.,['BuildingElementProxy'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
409 Private Residence Elevators,409.4.7.3,Compartment,"If the telephone or device is in a closed compartment, the compartment door hardware shall comply with 309.","['Door', 'BuildingElementProxy']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
409 Private Residence Elevators,409.4.7.4,Cord,The telephone cord shall be 29 inches (735 mm) long minimum.,['BuildingElementProxy'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
410 Platform Lifts,410.1,General,"Platform lifts shall comply with ASME A18.1 (1999 edition or 2003 edition) (incorporated by reference, see “Referenced Standards” in Chapter 1). Platform lifts shall not be attendant-operated and shall provide unassisted entry and exit from the lift.",['Elevator'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
410 Platform Lifts,410.2,Floor Surfaces,Floor surfaces in platform lifts shall comply with 302 and 303.,"['Slab', 'Ramp', 'BuildingElementProxy', 'Elevator']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
410 Platform Lifts,410.3,Clear Floor Space,Clear floor space in platform lifts shall comply with 305.,['Elevator'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
410 Platform Lifts,410.4,Platform to Runway Clearance,The clearance between the platform sill and the edge of any runway landing shall be 1 inch (32 mm) maximum.,"['Ramp', 'RampFlight', 'Slab']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
410 Platform Lifts,410.5,Operable Parts,Controls for platform lifts shall comply with 309.,['Elevator'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
410 Platform Lifts,410.6,Doors and Gates,Platform lifts shall have low-energy power-operated doors or gates complying with 404.3. Doors shall remain open for 20 seconds minimum. End doors and gates shall provide a clear width 32 inches (815 mm) minimum. Side doors and gates shall provide a clear width 42 inches (1065 mm) minimum.,"['Door', 'BuildingElementProxy', 'Elevator']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
501 General,501.1,Scope,The provisions of Chapter 5 shall apply where required by Chapter 2 or where referenced by a requirement in this document.,['BuildingElementProxy'],"['Assembly (A)', 'Business (B)', 'Educational (E)']","['sd', 'dd', 'cd']",occupancy_classification,architect
502 Parking Spaces,502.1,General,"Car and van parking spaces shall comply with 502. Where parking spaces are marked with lines, width measurements of parking spaces and access aisles shall be made from the centerline of the markings.","['Pavement', 'Kerb']","['Assembly (A)', 'Business (B)', 'Mercantile (M)', 'Residential (R)', 'Utility and Miscellaneous (U)']","['sd', 'dd', 'cd']",accessibility,architect
502 Parking Spaces,502.2,Vehicle Spaces,"Car parking spaces shall be 96 inches (2440 mm) wide minimum and van parking spaces shall be 132 inches (3350 mm) wide minimum, shall be marked to define the width, and shall have an adjacent access aisle complying with 502.3.","['Pavement', 'Kerb']","['Assembly (A)', 'Business (B)', 'Mercantile (M)', 'Residential (R)', 'Institutional (I)']","['sd', 'dd', 'cd']",accessibility,architect
502 Parking Spaces,502.3,Access Aisle,Access aisles serving parking spaces shall comply with 502.3. Access aisles shall adjoin an accessible route. Two parking spaces shall be permitted to share a common access aisle.,"['Pavement', 'Kerb']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Mercantile (M)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
502 Parking Spaces,502.3.1,Width,Access aisles serving car and van parking spaces shall be 60 inches (1525 mm) wide minimum.,"['Pavement', 'Kerb']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'High Hazard (H)']","['sd', 'dd', 'cd']",accessibility,architect
502 Parking Spaces,502.3.2,Length,Access aisles shall extend the full length of the parking spaces they serve.,"['Slab', 'Kerb', 'Pavement']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
502 Parking Spaces,502.3.3,Marking,Access aisles shall be marked so as to discourage parking in them.,"['Pavement', 'Kerb']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Mercantile (M)', 'Institutional (I)']","['sd', 'dd', 'cd']",accessibility,architect
502 Parking Spaces,502.3.4,Location,Access aisles shall not overlap the vehicular way. Access aisles shall be permitted to be placed on either side of the parking space except for angled van parking spaces which shall have access aisles located on the passenger side of the parking spaces.,"['Pavement', 'Kerb']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'High Hazard (H)']","['sd', 'dd', 'cd']",accessibility,architect
502 Parking Spaces,502.4,Floor or Ground Surfaces,Parking spaces and access aisles serving them shall comply with 302. Access aisles shall be at the same level as the parking spaces they serve. Changes in level are not permitted.,"['Slab', 'Pavement', 'Kerb']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
502 Parking Spaces,502.5,Vertical Clearance,Parking spaces for vans and access aisles and vehicular routes serving them shall provide a vertical clearance of 98 inches (2490 mm) minimum.,"['Slab', 'Ramp', 'Roof']","['Assembly (A)', 'Business (B)', 'Mercantile (M)', 'Residential (R)', 'Utility and Miscellaneous (U)']","['sd', 'dd', 'cd']",accessibility,architect
502 Parking Spaces,502.6,Identification,Parking space identification signs shall include the International Symbol of Accessibility complying with 703.7.2.1. Signs identifying van parking spaces shall contain the designation “van accessible.” Signs shall be 60 inches (1525 mm) minimum above the finish floor or ground surface measured to the bottom of the sign.,['BuildingElementProxy'],"['Business (B)', 'Assembly (A)', 'Mercantile (M)', 'Residential (R)', 'Institutional (I)']","['sd', 'dd', 'cd']",accessibility,architect
502 Parking Spaces,502.7,Relationship to Accessible Routes,"Parking spaces and access aisles shall be designed so that cars and vans, when parked, cannot obstruct the required clear width of adjacent accessible routes.","['Pavement', 'Kerb']","['Business (B)', 'Mercantile (M)', 'Assembly (A)', 'Residential (R)', 'Institutional (I)']","['sd', 'dd', 'cd']",accessibility,architect
503 Passenger Loading Zones,503.1,General,Passenger loading zones shall comply with 503.,"['Pavement', 'Kerb']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
503 Passenger Loading Zones,503.2,Vehicle Pull-Up Space,Passenger loading zones shall provide a vehicular pull-up space 96 inches (2440 mm) wide minimum and 20 feet (6100 mm) long minimum.,['Pavement'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
503 Passenger Loading Zones,503.3,Access Aisle,Passenger loading zones shall provide access aisles complying with 503 adjacent to the vehicle pull-up space. Access aisles shall adjoin an accessible route and shall not overlap the vehicular way.,"['Slab', 'Kerb', 'Pavement', 'Ramp']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
503 Passenger Loading Zones,503.3.1,Width,Access aisles serving vehicle pull-up spaces shall be 60 inches (1525 mm) wide minimum.,"['Slab', 'Pavement', 'Kerb']","['Assembly (A)', 'Business (B)', 'Mercantile (M)', 'Residential (R)', 'Institutional (I)']","['sd', 'dd', 'cd']",accessibility,architect
503 Passenger Loading Zones,503.3.2,Length,Access aisles shall extend the full length of the vehicle pull-up spaces they serve.,"['Pavement', 'Kerb']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
503 Passenger Loading Zones,503.3.3,Marking,Access aisles shall be marked so as to discourage parking in them.,"['Pavement', 'Kerb']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Mercantile (M)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
503 Passenger Loading Zones,503.4,Floor and Ground Surfaces,Vehicle pull-up spaces and access aisles serving them shall comply with 302. Access aisles shall be at the same level as the vehicle pull-up space they serve. Changes in level are not permitted.,"['Slab', 'Pavement', 'Ramp', 'Kerb']","['Assembly (A)', 'Business (B)', 'Mercantile (M)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
503 Passenger Loading Zones,503.5,Vertical Clearance,"Vehicle pull-up spaces, access aisles serving them, and a vehicular route from an entrance to the passenger loading zone, and from the passenger loading zone to a vehicular exit shall provide a vertical clearance of 114 inches (2895 mm) minimum.","['Slab', 'Pavement', 'Roof']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Mercantile (M)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
504 Stairways,504.1,General,Stairs shall comply with 504.,"['Stair', 'StairFlight']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'Residential (R)']","['sd', 'dd', 'cd']",means_of_egress,architect
504 Stairways,504.2,Treads and Risers,All steps on a flight of stairs shall have uniform riser heights and uniform tread depths. Risers shall be 4 inches (100 mm) high minimum and 7 inches (180 mm) high maximum. Treads shall be 11 inches (280 mm) deep minimum.,"['Stair', 'StairFlight']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",means_of_egress,architect
504 Stairways,504.3,Open Risers,Open risers are not permitted.,"['Stair', 'StairFlight']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Mercantile (M)']","['sd', 'dd', 'cd']",means_of_egress,architect
504 Stairways,504.4,Tread Surface,Stair treads shall comply with 302. Changes in level are not permitted.,"['Stair', 'StairFlight', 'Slab']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
504 Stairways,504.5,Nosings,The radius of curvature at the leading edge of the tread shall be 1/2 inch (13 mm) maximum. Nosings that project beyond risers shall have the underside of the leading edge curved or beveled. Risers shall be permitted to slope under the tread at an angle of 30 degrees maximum from vertical. The permitted projection of the nosing shall extend 1 1/2 inches (38 mm) maximum over the tread below.,"['Stair', 'StairFlight']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Mercantile (M)', 'Residential (R)']","['sd', 'dd', 'cd']",means_of_egress,architect
504 Stairways,504.6,Handrails,Stairs shall have handrails complying with 505.,"['Stair', 'StairFlight', 'Railing']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
504 Stairways,504.7,Wet Conditions,Stair treads and landings subject to wet conditions shall be designed to prevent the accumulation of water.,"['Stair', 'StairFlight', 'Slab']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Mercantile (M)', 'Residential (R)']","['sd', 'dd', 'cd']",finishes_materials,architect
505 Handrails,505.1,General,"Handrails provided along walking surfaces complying with 403, required at ramps complying with 405, and required at stairs complying with 504 shall comply with 505.","['Railing', 'Ramp', 'Stair', 'StairFlight']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
505 Handrails,505.2,Where Required,Handrails shall be provided on both sides of stairs and ramps.,"['Stair', 'Ramp', 'Railing']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
505 Handrails,505.3,Continuity,Handrails shall be continuous within the full length of each stair flight or ramp run. Inside handrails on switchback or dogleg stairs and ramps shall be continuous between flights or runs.,"['Railing', 'Stair', 'StairFlight', 'Ramp', 'RampFlight']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
505 Handrails,505.4,Height,"Top of gripping surfaces of handrails shall be 34 inches (865 mm) minimum and 38 inches (965 mm) maximum vertically above walking surfaces, stair nosings, and ramp surfaces. Handrails shall be at a consistent height above walking surfaces, stair nosings, and ramp surfaces.","['Railing', 'Stair', 'Ramp', 'StairFlight']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
505 Handrails,505.5,Clearance,Clearance between handrail gripping surfaces and adjacent surfaces shall be 1 1/2 inches (38 mm) minimum.,['Railing'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)', 'Institutional (I)']","['sd', 'dd', 'cd']",accessibility,architect
505 Handrails,505.6,Gripping Surface,"Handrail gripping surfaces shall be continuous along their length and shall not be obstructed along their tops or sides. The bottoms of handrail gripping surfaces shall not be obstructed for more than 20 percent of their length. Where provided, horizontal projections shall occur 1 1/2 inches (38 mm) minimum below the bottom of the handrail gripping surface.","['Railing', 'Stair', 'StairFlight', 'Ramp', 'RampFlight']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
505 Handrails,505.7,Cross Section,Handrail gripping surfaces shall have a cross section complying with 505.7.1 or 505.7.2.,['Railing'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
505 Handrails,505.7.1,Circular Cross Section,Handrail gripping surfaces with a circular cross section shall have an outside diameter of 1 1/4 inches (32 mm) minimum and 2 inches (51 mm) maximum.,['Railing'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
505 Handrails,505.7.2,Non-Circular Cross Sections,"Handrail gripping surfaces with a non-circular cross section shall have a perimeter dimension of 4 inches (100 mm) minimum and 6 1/4 inches (160 mm) maximum, and a cross-section dimension of 2 1/4 inches (57 mm) maximum.",['Railing'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
505 Handrails,505.8,Surfaces,Handrail gripping surfaces and any surfaces adjacent to them shall be free of sharp or abrasive elements and shall have rounded edges.,"['Railing', 'Stair', 'Ramp']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
505 Handrails,505.9,Fittings,Handrails shall not rotate within their fittings.,"['Railing', 'Stair', 'Ramp', 'RampFlight', 'StairFlight']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
505 Handrails,505.10,Handrail Extensions,Handrail gripping surfaces shall extend beyond and in the same direction of stair flights and ramp runs in accordance with 505.10.,"['Railing', 'Stair', 'Ramp', 'StairFlight', 'RampFlight']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)', 'Institutional (I)']","['sd', 'dd', 'cd']",accessibility,architect
505 Handrails,505.10.1,Top and Bottom Extension at Ramps,"Ramp handrails shall extend horizontally above the landing for 12 inches (305 mm) minimum beyond the top and bottom of ramp runs. Extensions shall return to a wall, guard, or the landing surface, or shall be continuous to the handrail of an adjacent ramp run.","['Railing', 'Ramp']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
505 Handrails,505.10.2,Top Extension at Stairs,"At the top of a stair flight, handrails shall extend horizontally above the landing for 12 inches (305 mm) minimum beginning directly above the first riser nosing. Extensions shall return to a wall, guard, or the landing surface, or shall be continuous to the handrail of an adjacent stair flight.","['Stair', 'StairFlight', 'Railing', 'Wall', 'Slab']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
505 Handrails,505.10.3,Bottom Extension at Stairs,"At the bottom of a stair flight, handrails shall extend at the slope of the stair flight for a horizontal distance at least equal to one tread depth beyond the last riser nosing. Extension shall return to a wall, guard, or the landing surface, or shall be continuous to the handrail of an adjacent stair flight.","['Stair', 'StairFlight', 'Railing', 'Wall', 'Slab']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",means_of_egress,architect
601 General,601.1,Scope,The provisions of Chapter 6 shall apply where required by Chapter 2 or where referenced by a requirement in this document.,['BuildingElementProxy'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'Residential (R)']","['concept', 'sd', 'dd', 'cd']",construction_type_ratings,architect
602 Drinking Fountains,602.1,General,Drinking fountains shall comply with 307 and 602.,['BuildingElementProxy'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
602 Drinking Fountains,602.2,Clear Floor Space,Units shall have a clear floor or ground space complying with 305 positioned for a forward approach and centered on the unit. Knee and toe clearance complying with 306 shall be provided.,"['BuildingElementProxy', 'Door']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Mercantile (M)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
602 Drinking Fountains,602.3,Operable Parts,Operable parts shall comply with 309.,"['Door', 'Window', 'ShadingDevice']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
602 Drinking Fountains,602.4,Spout Height,Spout outlets shall be 36 inches (915 mm) maximum above the finish floor or ground.,"['PlumbingSystems', 'Wall']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'High Hazard (H)']","['sd', 'dd', 'cd']",accessibility,architect
602 Drinking Fountains,602.5,Spout Location,"The spout shall be located 15 inches (380 mm) minimum from the vertical support and 5 inches (125 mm) maximum from the front edge of the unit, including bumpers.","['BuildingElementProxy', 'Wall']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
602 Drinking Fountains,602.6,Water Flow,"The spout shall provide a flow of water 4 inches (100 mm) high minimum and shall be located 5 inches (125 mm) maximum from the front of the unit. The angle of the water stream shall be measured horizontally relative to the front face of the unit. Where spouts are located less than 3 inches (75 mm) of the front of the unit, the angle of the water stream shall be 30 degrees maximum. Where spouts are located between 3 inches (75 mm) and 5 inches (125 mm) maximum from the front of the unit, the angle of the water stream shall be 15 degrees maximum.",['BuildingElementProxy'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
602 Drinking Fountains,602.7,Drinking Fountains for Standing Persons,Spout outlets of drinking fountains for standing persons shall be 38 inches (965 mm) minimum and 43 inches (1090 mm) maximum above the finish floor or ground.,['BuildingElementProxy'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
603 Toilet and Bathing Rooms,603.1,General,Toilet and bathing rooms shall comply with 603.,"['Wall', 'Door', 'Slab', 'Covering']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)', 'Institutional (I)']","['sd', 'dd', 'cd']",accessibility,architect
603 Toilet and Bathing Rooms,603.2,Clearances,Clearances shall comply with 603.2.,"['Wall', 'Door', 'Stair', 'Ramp', 'Slab']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Mercantile (M)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
603 Toilet and Bathing Rooms,603.2.1,Turning Space,Turning space complying with 304 shall be provided within the room.,"['Door', 'Wall', 'Slab']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
603 Toilet and Bathing Rooms,603.2.2,Overlap,"Required clear floor spaces, clearance at fixtures, and turning space shall be permitted to overlap.","['Door', 'Slab', 'Wall']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Mercantile (M)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
603 Toilet and Bathing Rooms,603.2.3,Door Swing,Doors shall not swing into the clear floor space or clearance required for any fixture. Doors shall be permitted to swing into the required turning space.,['Door'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
603 Toilet and Bathing Rooms,603.3,Mirrors,Mirrors located above lavatories or countertops shall be installed with the bottom edge of the reflecting surface 40 inches (1015 mm) maximum above the finish floor or ground. Mirrors not located above lavatories or countertops shall be installed with the bottom edge of the reflecting surface 35 inches (890 mm) maximum above the finish floor or ground.,['Covering'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Mercantile (M)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
603 Toilet and Bathing Rooms,603.4,Coat Hooks and Shelves,Coat hooks shall be located within one of the reach ranges specified in 308. Shelves shall be located 40 inches (1015 mm) minimum and 48 inches (1220 mm) maximum above the finish floor.,"['Wall', 'Covering', 'BuildingElementProxy']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
604 Water Closets and Toilet Compartments,604.1,General,Water closets and toilet compartments shall comply with 604.2 through 604.8.,"['Slab', 'Wall', 'Door', 'Covering']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
